security_name,security_name_full,security_name_tiny,security_code,security_class,security_class_code,security_nominal
"MSNG [TQBR]","МосЭнерго акции обыкн.",+МосЭнерго,MSNG,"МБ ФР: Т+ Акции и ДР",TQBR,1
"AGRO [TQBR]","ГДР ROS AGRO PLC ORD SHS",AGRO-гдр,AGRO,"МБ ФР: Т+ Акции и ДР",TQBR,NULL
"ENPL [TQBR]","ГДР МКПАО "ЭН+ ГРУП" ORD SHS",ENPL-гдр,ENPL,"МБ ФР: Т+ Акции и ДР",TQBR,NULL
"FIVE [TQBR]","ГДР X5 RetailGroup N.V.ORD SHS",FIVE-гдр,FIVE,"МБ ФР: Т+ Акции и ДР",TQBR,NULL
"POLY [TQBR]","Polymetal International plc",Polymetal,POLY,"МБ ФР: Т+ Акции и ДР",TQBR,NULL
"RUAL [TQBR]","United Company RUSAL Plc","RUSAL plc",RUAL,"МБ ФР: Т+ Акции и ДР",TQBR,0
"RAVN [TQBR]","Raven Property Group Limited",Raven,RAVN,"МБ ФР: Т+ Акции и ДР",TQBR,0
"YNDX [TQBR]","PLLC Yandex N.V. class A shs","Yandex clA",YNDX,"МБ ФР: Т+ Акции и ДР",TQBR,0
"QIWI [TQBR]","QIWI PLC",iQIWI,QIWI,"МБ ФР: Т+ Акции и ДР",TQBR,NULL
"UNAC [TQBR]","Об.авиастр.корп. ПАО ао",iАвиастКао,UNAC,"МБ ФР: Т+ Акции и ДР",TQBR,1
"DZRD [TQBR]","Донской завод радиодеталей ао",iДонскЗР,DZRD,"МБ ФР: Т+ Акции и ДР",TQBR,1
"DZRDP [TQBR]","Донской завод радиодеталей ап","iДонскЗР п",DZRDP,"МБ ФР: Т+ Акции и ДР",TQBR,1
"ISKJ [TQBR]","ПАО "ИСКЧ"","iИСКЧ ао",ISKJ,"МБ ФР: Т+ Акции и ДР",TQBR,0
"LVHK [TQBR]","Левенгук ОАО ао",iЛевенгук,LVHK,"МБ ФР: Т+ Акции и ДР",TQBR,10
"NAUK [TQBR]","НПО Наука ао",iНПОНаука,NAUK,"МБ ФР: Т+ Акции и ДР",TQBR,0
"LIFE [TQBR]","Фармсинтез ПАО ао",iФармсинтз,LIFE,"МБ ФР: Т+ Акции и ДР",TQBR,5
"ALRS [TQBR]","АЛРОСА ПАО ао","АЛРОСА ао",ALRS,"МБ ФР: Т+ Акции и ДР",TQBR,1
"ALNU [TQBR]","АЛРОСА-Нюрба ПАО ао",АЛРОСА-Нюр,ALNU,"МБ ФР: Т+ Акции и ДР",TQBR,25
"ABRD [TQBR]","Абрау-Дюрсо ПАО ао",АбрауДюрсо,ABRD,"МБ ФР: Т+ Акции и ДР",TQBR,1
"AVAN [TQBR]","АКБ "АВАНГАРД" ПАО ао",Авангрд-ао,AVAN,"МБ ФР: Т+ Акции и ДР",TQBR,10
"AKRN [TQBR]","Акрон ПАО ао",Акрон,AKRN,"МБ ФР: Т+ Акции и ДР",TQBR,5
"APTK [TQBR]","ПАО "Аптечная сеть 36,6" ао",Аптеки36и6,APTK,"МБ ФР: Т+ Акции и ДР",TQBR,1
"ARSA [TQBR]","УК Арсагера ПАО-ао",Арсагера,ARSA,"МБ ФР: Т+ Акции и ДР",TQBR,1
