security_name,security_name_full,security_name_tiny,security_code
"AFU9 [SPBFUT]",AFLT-9.19,AFU9,AFU9
"AFZ9 [SPBFUT]",AFLT-12.19,AFZ9,AFZ9
"ALU9 [SPBFUT]",ALRS-9.19,ALU9,ALU9
"ALZ9 [SPBFUT]",ALRS-12.19,ALZ9,ALZ9
"AMQ9 [SPBFUT]",ALMN-8.19,AMQ9,AMQ9
"AMU9 [SPBFUT]",ALMN-9.19,AMU9,AMU9
"AMV9 [SPBFUT]",ALMN-10.19,AMV9,AMV9
"AUU9 [SPBFUT]",AUDU-9.19,AUU9,AUU9
"AUZ9 [SPBFUT]",AUDU-12.19,AUZ9,AUZ9
"BRF0 [SPBFUT]",BR-1.20,BRF0,BRF0
"BRG0 [SPBFUT]",BR-2.20,BRG0,BRG0
"BRH0 [SPBFUT]",BR-3.20,BRH0,BRH0
"BRJ0 [SPBFUT]",BR-4.20,BRJ0,BRJ0
"BRK0 [SPBFUT]",BR-5.20,BRK0,BRK0
"BRM0 [SPBFUT]",BR-6.20,BRM0,BRM0
"BRN0 [SPBFUT]",BR-7.20,BRN0,BRN0
"BRQ0 [SPBFUT]",BR-8.20,BRQ0,BRQ0
"BRQ9 [SPBFUT]",BR-8.19,BRQ9,BRQ9
"BRU9 [SPBFUT]",BR-9.19,BRU9,BRU9
"BRV9 [SPBFUT]",BR-10.19,BRV9,BRV9
"BRX0 [SPBFUT]",BR-11.20,BRX0,BRX0
"BRX9 [SPBFUT]",BR-11.19,BRX9,BRX9
"BRZ9 [SPBFUT]",BR-12.19,BRZ9,BRZ9
"BWU9 [SPBFUT]",GBMW-9.19,BWU9,BWU9
"CAU9 [SPBFUT]",UCAD-9.19,CAU9,CAU9
"CAZ9 [SPBFUT]",UCAD-12.19,CAZ9,CAZ9
"CFU9 [SPBFUT]",UCHF-9.19,CFU9,CFU9
"CFZ9 [SPBFUT]",UCHF-12.19,CFZ9,CFZ9
"CHU9 [SPBFUT]",CHMF-9.19,CHU9,CHU9
"CHZ9 [SPBFUT]",CHMF-12.19,CHZ9,CHZ9
"CLF0 [SPBFUT]",CL-1.20,CLF0,CLF0
"CLQ9 [SPBFUT]",CL-8.19,CLQ9,CLQ9
"CLU9 [SPBFUT]",CL-9.19,CLU9,CLU9
"CLV9 [SPBFUT]",CL-10.19,CLV9,CLV9
"CLX9 [SPBFUT]",CL-11.19,CLX9,CLX9
"CLZ9 [SPBFUT]",CL-12.19,CLZ9,CLZ9
"CUU9 [SPBFUT]",CU-9.19,CUU9,CUU9
"CUZ9 [SPBFUT]",CU-12.19,CUZ9,CUZ9
"CYU9 [SPBFUT]",CY-9.19,CYU9,CYU9
"CYZ9 [SPBFUT]",CY-12.19,CYZ9,CYZ9
"CoQ9 [SPBFUT]",Co-8.19,CoQ9,CoQ9
"CoU9 [SPBFUT]",Co-9.19,CoU9,CoU9
"CoV9 [SPBFUT]",Co-10.19,CoV9,CoV9
"DBU9 [SPBFUT]",GDBK-9.19,DBU9,DBU9
"DMU9 [SPBFUT]",GDAI-9.19,DMU9,DMU9
"EDH0 [SPBFUT]",ED-3.20,EDH0,EDH0
"EDU9 [SPBFUT]",ED-9.19,EDU9,EDU9
"EDZ9 [SPBFUT]",ED-12.19,EDZ9,EDZ9
"EuH0 [SPBFUT]",Eu-3.20,EuH0,EuH0
"EuM0 [SPBFUT]",Eu-6.20,EuM0,EuM0
"EuU0 [SPBFUT]",Eu-9.20,EuU0,EuU0
"EuU9 [SPBFUT]",Eu-9.19,EuU9,EuU9
"EuZ0 [SPBFUT]",Eu-12.20,EuZ0,EuZ0
"EuZ9 [SPBFUT]",Eu-12.19,EuZ9,EuZ9
"FSU9 [SPBFUT]",FEES-9.19,FSU9,FSU9
"FSZ9 [SPBFUT]",FEES-12.19,FSZ9,FSZ9
"GDH0 [SPBFUT]",GOLD-3.20,GDH0,GDH0
"GDM0 [SPBFUT]",GOLD-6.20,GDM0,GDM0
"GDU9 [SPBFUT]",GOLD-9.19,GDU9,GDU9
"GDZ9 [SPBFUT]",GOLD-12.19,GDZ9,GDZ9
"GMH0 [SPBFUT]",GMKR-3.20,GMH0,GMH0
"GMU9 [SPBFUT]",GMKR-9.19,GMU9,GMU9
"GMZ9 [SPBFUT]",GMKR-12.19,GMZ9,GMZ9
"GOQ9 [SPBFUT]",GLD-8.19,GOQ9,GOQ9
"GOU9 [SPBFUT]",GLD-9.19,GOU9,GOU9
"GOV9 [SPBFUT]",GLD-10.19,GOV9,GOV9
"GUU9 [SPBFUT]",GBPU-9.19,GUU9,GUU9
"GUZ9 [SPBFUT]",GBPU-12.19,GUZ9,GUZ9
"GZH0 [SPBFUT]",GAZR-3.20,GZH0,GZH0
"GZM0 [SPBFUT]",GAZR-6.20,GZM0,GZM0
"GZU9 [SPBFUT]",GAZR-9.19,GZU9,GZU9
"GZZ9 [SPBFUT]",GAZR-12.19,GZZ9,GZZ9
"HYU9 [SPBFUT]",HYDR-9.19,HYU9,HYU9
"HYZ9 [SPBFUT]",HYDR-12.19,HYZ9,HYZ9
"INQ9 [SPBFUT]",UINR-8.19,INQ9,INQ9
"INU9 [SPBFUT]",UINR-9.19,INU9,INU9
"INV9 [SPBFUT]",UINR-10.19,INV9,INV9
"JPU9 [SPBFUT]",UJPY-9.19,JPU9,JPU9
"JPZ9 [SPBFUT]",UJPY-12.19,JPZ9,JPZ9
"LKH0 [SPBFUT]",LKOH-3.20,LKH0,LKH0
"LKM0 [SPBFUT]",LKOH-6.20,LKM0,LKM0
"LKU9 [SPBFUT]",LKOH-9.19,LKU9,LKU9
"LKZ9 [SPBFUT]",LKOH-12.19,LKZ9,LKZ9
"MEU9 [SPBFUT]",MOEX-9.19,MEU9,MEU9
"MEZ9 [SPBFUT]",MOEX-12.19,MEZ9,MEZ9
"MFF0 [SPBFUT]",1MFR-1.20,MFF0,MFF0
"MFG0 [SPBFUT]",1MFR-2.20,MFG0,MFG0
"MFH0 [SPBFUT]",1MFR-3.20,MFH0,MFH0
"MFJ0 [SPBFUT]",1MFR-4.20,MFJ0,MFJ0
"MFK0 [SPBFUT]",1MFR-5.20,MFK0,MFK0
"MFM0 [SPBFUT]",1MFR-6.20,MFM0,MFM0
"MFN9 [SPBFUT]",1MFR-7.19,MFN9,MFN9
"MFQ9 [SPBFUT]",1MFR-8.19,MFQ9,MFQ9
"MFU9 [SPBFUT]",1MFR-9.19,MFU9,MFU9
"MFV9 [SPBFUT]",1MFR-10.19,MFV9,MFV9
"MFX9 [SPBFUT]",1MFR-11.19,MFX9,MFX9
"MFZ9 [SPBFUT]",1MFR-12.19,MFZ9,MFZ9
"MGU9 [SPBFUT]",MAGN-9.19,MGU9,MGU9
"MGZ9 [SPBFUT]",MAGN-12.19,MGZ9,MGZ9
"MMH0 [SPBFUT]",MXI-3.20,MMH0,MMH0
