security_name,security_name_full,security_name_tiny,security_code
"MSNG [TQBR]","МосЭнерго акции обыкн.",+МосЭнерго,MSNG
"AGRO [TQBR]","ГДР ROS AGRO PLC ORD SHS",AGRO-гдр,AGRO
"ENPL [TQBR]","ГДР МКПАО "ЭН+ ГРУП" ORD SHS",ENPL-гдр,ENPL
"FIVE [TQBR]","ГДР X5 RetailGroup N.V.ORD SHS",FIVE-гдр,FIVE
"POLY [TQBR]","Polymetal International plc",Polymetal,POLY
"RUAL [TQBR]","United Company RUSAL Plc","RUSAL plc",RUAL
"RAVN [TQBR]","Raven Property Group Limited",Raven,RAVN
"YNDX [TQBR]","PLLC Yandex N.V. class A shs","Yandex clA",YNDX
"QIWI [TQBR]","QIWI PLC",iQIWI,QIWI
"UNAC [TQBR]","Об.авиастр.корп. ПАО ао",iАвиастКао,UNAC
"DZRD [TQBR]","Донской завод радиодеталей ао",iДонскЗР,DZRD
"DZRDP [TQBR]","Донской завод радиодеталей ап","iДонскЗР п",DZRDP
"ISKJ [TQBR]","ПАО "ИСКЧ"","iИСКЧ ао",ISKJ
"LVHK [TQBR]","Левенгук ОАО ао",iЛевенгук,LVHK
"NAUK [TQBR]","НПО Наука ао",iНПОНаука,NAUK
"LIFE [TQBR]","Фармсинтез ПАО ао",iФармсинтз,LIFE
"ALRS [TQBR]","АЛРОСА ПАО ао","АЛРОСА ао",ALRS
"ALNU [TQBR]","АЛРОСА-Нюрба ПАО ао",АЛРОСА-Нюр,ALNU
"ABRD [TQBR]","Абрау-Дюрсо ПАО ао",АбрауДюрсо,ABRD
"AVAN [TQBR]","АКБ "АВАНГАРД" ПАО ао",Авангрд-ао,AVAN
"AKRN [TQBR]","Акрон ПАО ао",Акрон,AKRN
"APTK [TQBR]","ПАО "Аптечная сеть 36,6" ао",Аптеки36и6,APTK
"ARSA [TQBR]","УК Арсагера ПАО-ао",Арсагера,ARSA
"ASSB [TQBR]",""Астраханская ЭСК" ПАО",АстрЭнСб,ASSB
"AMEZ [TQBR]","Ашинский метзавод ПАО ао",АшинскийМЗ,AMEZ
"AFLT [TQBR]",Аэрофлот-росс.авиалин(ПАО)ао,Аэрофлот,AFLT
"BSPB [TQBR]","ПАО "Банк "Санкт-Петербург" ао","БСП ао",BSPB
"FTRE [TQBR]","Финансовая группа БУДУЩЕЕ ао","БУДУЩЕЕ ао",FTRE
"BISV [TQBR]","Башинформсвязь(ПАО) ао","БашИнСв ао",BISV
"BISVP [TQBR]","Башинформсвязь(ПАО) ап","БашИнСв ап",BISVP
"BANE [TQBR]","Башнефть АНК ао","Башнефт ао",BANE
"BANEP [TQBR]","Башнефть АНК ап","Башнефт ап",BANEP
"BLNG [TQBR]","Белон ОАО ао","Белон ао",BLNG
"BELU [TQBR]","Белуга Групп ПАО ао","Белуга ао",BELU
